entrada,preco_entrada,saida,preco_saida,pnl,retorno
2022-07-15,1193.9867,2022-07-26,1439.8997,9524.17,0.203550
2022-07-28,1636.8980,2022-08-04,1617.7807,-768.90,-0.013654
2022-08-06,1737.3482,2022-08-18,1833.1830,2946.87,0.053053
2022-08-26,1695.8575,2022-08-27,1507.4459,-6602.46,-0.112877
2022-09-02,1586.8530,2022-09-04,1556.5513,-1092.56,-0.021055
2022-09-05,1580.1597,2022-09-07,1558.0806,-809.85,-0.015943
2022-09-08,1630.3148,2022-09-14,1573.7527,-1830.67,-0.036623
2022-10-04,1323.7215,2022-10-08,1330.3245,143.52,0.002980
2022-10-17,1306.5429,2022-10-20,1284.5574,-907.64,-0.018792
2022-10-22,1300.2898,2022-11-03,1517.7907,7816.91,0.164939
2022-11-04,1531.7755,2022-11-09,1333.6828,-7235.88,-0.131062
2022-11-25,1204.4919,2022-11-28,1193.2731,-541.80,-0.011294
2022-11-30,1217.2383,2022-12-04,1240.1596,796.62,0.016795
2022-12-05,1280.1598,2022-12-08,1230.5944,-1959.95,-0.040639
2022-12-09,1280.9502,2022-12-16,1266.2765,-621.41,-0.013430
2022-12-23,1218.4689,2022-12-28,1211.1441,-365.06,-0.007997
2023-01-03,1214.6070,2023-01-25,1555.1820,12581.25,0.277841
2023-01-26,1612.5059,2023-01-29,1571.5438,-1582.56,-0.027350
2023-01-30,1645.5123,2023-01-31,1565.3169,-2849.86,-0.050636
2023-02-02,1642.5709,2023-02-07,1613.5628,-1048.47,-0.019623
2023-02-08,1671.4453,2023-02-10,1544.5673,-4073.03,-0.077755
2023-02-16,1675.7475,2023-02-23,1642.2385,-1060.61,-0.021954
2023-02-27,1642.0806,2023-02-28,1632.6533,-365.12,-0.007728
2023-03-02,1665.7925,2023-03-04,1568.5154,-2826.07,-0.060278
2023-03-13,1580.4999,2023-03-26,1741.1190,4380.42,0.099424
2023-03-27,1774.7169,2023-03-28,1714.5523,-1735.60,-0.035831
2023-03-29,1773.8965,2023-04-20,1933.1729,4091.68,0.087612
2023-04-28,1909.3642,2023-04-29,1889.9645,-616.54,-0.012138
2023-04-30,1908.7539,2023-05-01,1868.9950,-1143.36,-0.022786
2023-05-04,1905.9525,2023-05-05,1876.4213,-856.20,-0.017461
2023-05-06,1994.1766,2023-05-07,1895.2319,-2481.93,-0.051516
2023-05-21,1820.2297,2023-05-22,1804.1075,-495.23,-0.010838
2023-05-23,1818.3587,2023-05-25,1799.1000,-568.09,-0.012568
2023-05-27,1828.2937,2023-06-02,1860.6192,698.39,0.015647
