entrada,preco_entrada,saida,preco_saida,pnl,retorno
2021-06-10,37408.0947,2021-06-13,35527.7273,-1754.97,-0.052164
2021-06-14,39042.5115,2021-06-18,38079.0509,-849.06,-0.026626
2021-06-28,34716.9498,2021-07-02,33495.8437,-1151.59,-0.037101
2021-07-04,34691.6372,2021-07-06,33669.3569,-938.68,-0.031407
2021-07-12,34274.5287,2021-07-13,33077.2531,-1067.07,-0.036860
2021-07-22,32160.7723,2021-08-04,38184.8980,5156.51,0.184941
2021-08-05,39751.7660,2021-08-18,44661.9579,4006.80,0.121277
2021-08-20,46786.3815,2021-08-25,47649.2634,607.85,0.016408
2021-08-26,49010.8932,2021-08-27,46809.3836,-1763.19,-0.046827
2021-08-28,49090.6330,2021-08-31,46952.5120,-1631.76,-0.045466
2021-09-02,48853.2144,2021-09-08,46834.7709,-1481.05,-0.043232
2021-09-15,47132.3544,2021-09-20,47220.7778,-4.12,-0.000126
2021-10-01,43842.9105,2021-10-23,60665.5521,12484.50,0.380938
2021-10-24,61331.7505,2021-10-25,60824.7724,-463.78,-0.010248
2021-10-26,63120.3444,2021-10-27,60284.7426,-2097.78,-0.046832
2021-10-30,62261.1150,2021-11-02,60876.6465,-1032.82,-0.024190
2021-11-03,63251.5099,2021-11-05,61363.4030,-1324.44,-0.031789
2021-11-08,63290.3293,2021-11-13,64089.1394,427.52,0.010598
2021-11-14,64410.6892,2021-11-16,63576.9956,-608.05,-0.014916
2021-11-26,58988.6796,2021-11-27,53712.7302,-3664.81,-0.091259
2021-11-29,57315.4434,2021-12-01,56932.0198,-316.56,-0.008674
2021-12-22,48916.6461,2021-12-29,47518.2290,-1104.43,-0.030529
2022-01-13,43930.9545,2022-01-14,42543.9174,-1175.21,-0.033508
2022-01-30,38192.8869,2022-02-03,36881.3501,-1229.42,-0.036269
2022-02-05,41596.6879,2022-02-13,42195.9915,404.45,0.012381
2022-02-15,42553.7663,2022-02-18,40493.9429,-1663.75,-0.050306
2022-02-26,39241.6110,2022-02-27,39088.7459,-184.86,-0.005886
2022-03-01,43192.6855,2022-03-05,39120.4300,-3000.30,-0.096091
2022-03-10,41969.9745,2022-03-11,39399.8902,-1781.23,-0.063112
2022-03-15,39695.9380,2022-04-06,45476.3504,3789.90,0.143328
2022-04-20,41510.0447,2022-04-22,40455.7620,-826.71,-0.027346
2022-04-26,40453.3165,2022-04-27,38093.6436,-1770.56,-0.060212
2022-04-29,39764.0721,2022-04-30,38579.3007,-876.95,-0.031733
2022-05-05,39718.0491,2022-05-06,36531.6251,-2195.84,-0.082064
2022-05-23,30310.7478,2022-05-24,29098.8433,-1029.16,-0.041901
2022-05-30,29481.6335,2022-06-02,29791.5968,199.91,0.008495
2022-06-03,30470.5276,2022-06-04,29685.9496,-657.28,-0.027695
2022-06-07,31386.8856,2022-06-09,30188.8980,-925.10,-0.040090
2022-06-26,21499.4443,2022-06-27,21030.2796,-526.66,-0.023777
2022-07-05,20245.7178,2022-07-11,20851.0693,602.06,0.027842
2022-07-15,20601.5956,2022-07-26,21299.9447,707.49,0.031832
2022-07-28,22966.5775,2022-08-03,22970.9088,-41.50,-0.001810
2022-08-06,23322.6555,2022-08-07,22937.6254,-422.90,-0.018474
2022-08-08,23185.6870,2022-08-10,23135.7264,-93.21,-0.004149
2022-08-11,23966.6773,2022-08-17,23845.3714,-157.73,-0.007049
2022-09-10,21374.6820,2022-09-14,20160.8146,-1303.62,-0.058675
2022-09-29,19423.8070,2022-10-02,19301.7443,-172.95,-0.008270
2022-10-04,19638.4143,2022-10-08,19519.8352,-166.43,-0.008024
2022-10-14,19387.4889,2022-10-15,19169.2106,-272.29,-0.013234
