data,patrimonio
2026-03-02,5854.18
2026-03-03,5716.59
2026-03-04,6133.45
2026-03-05,5975.61
2026-03-06,5705.26
2026-03-07,5696.42
2026-03-08,5696.42
2026-03-09,5696.42
2026-03-10,5811.90
2026-03-11,5855.79
2026-03-12,5917.22
2026-03-13,5970.47
2026-03-14,5981.92
2026-03-15,6215.57
2026-03-16,6713.54
2026-03-17,6613.27
2026-03-18,6287.62
2026-03-19,6100.57
2026-03-20,6091.28
2026-03-21,6091.28
2026-03-22,6091.28
2026-03-23,6091.28
2026-03-24,6094.25
2026-03-25,6130.79
2026-03-26,5822.45
2026-03-27,5813.72
2026-03-28,5813.72
2026-03-29,5813.72
2026-03-30,5813.72
2026-03-31,5813.72
2026-04-01,5900.43
2026-04-02,5671.24
2026-04-03,5662.77
2026-04-04,5662.77
2026-04-05,5662.77
2026-04-06,5646.91
2026-04-07,6002.68
2026-04-08,5868.93
2026-04-09,5869.04
2026-04-10,6016.72
2026-04-11,6123.37
2026-04-12,5871.90
2026-04-13,6349.52
2026-04-14,6222.95
2026-04-15,6324.22
2026-04-16,6292.47
2026-04-17,6482.35
2026-04-18,6298.84
2026-04-19,6065.89
2026-04-20,6056.85
2026-04-21,6084.37
2026-04-22,6205.87
2026-04-23,6091.90
2026-04-24,6051.72
2026-04-25,6042.62
2026-04-26,6042.62
2026-04-27,5866.47
2026-04-28,5857.62
2026-04-29,5857.62
2026-04-30,5857.62
2026-05-01,5857.62
2026-05-02,5857.62
2026-05-03,5863.81
2026-05-04,5924.74
2026-05-05,5959.50
2026-05-06,5934.97
2026-05-07,5784.18
2026-05-08,5775.50
2026-05-09,5775.50
2026-05-10,5878.32
2026-05-11,5800.11
2026-05-12,5639.41
2026-05-13,5630.98
2026-05-14,5630.98
2026-05-15,5630.98
2026-05-16,5630.98
2026-05-17,5630.98
2026-05-18,5630.98
2026-05-19,5630.98
2026-05-20,5630.98
2026-05-21,5630.98
2026-05-22,5630.98
2026-05-23,5630.98
2026-05-24,5630.98
2026-05-25,5630.98
2026-05-26,5630.98
2026-05-27,5630.98
2026-05-28,5630.98
2026-05-29,5630.98
2026-05-30,5630.98
2026-05-31,5630.98
2026-06-01,5630.98
2026-06-02,5630.98
2026-06-03,5630.98
2026-06-04,5630.98
2026-06-05,5630.98
2026-06-06,5630.98
2026-06-07,5630.98
2026-06-08,5630.98
2026-06-09,5630.98
2026-06-10,5630.98
2026-06-11,5630.98
2026-06-12,5630.98
2026-06-13,5630.98
2026-06-14,5630.98
2026-06-15,5851.79
2026-06-16,5842.34
2026-06-17,5703.38
2026-06-18,5575.17
2026-06-19,5566.84
2026-06-20,5566.84
2026-06-21,5451.08
2026-06-22,5442.94
2026-06-23,5242.41
2026-06-24,5234.61
2026-06-25,5234.61
2026-06-26,5234.61
2026-06-27,5234.61
2026-06-28,5234.61
2026-06-29,5234.61
2026-06-30,5234.61
2026-07-01,5234.61
2026-07-02,5234.61
2026-07-03,5403.74
2026-07-04,5472.77
2026-07-05,5488.54
2026-07-06,5531.14
2026-07-07,5444.49
2026-07-08,5358.62
2026-07-09,5363.85
2026-07-10,5522.74
2026-07-11,5494.68
2026-07-12,5553.17
2026-07-13,5460.38
2026-07-14,5815.09
2026-07-15,5894.11
2026-07-16,5730.67
2026-07-17,5660.71
2026-07-18,5724.76
2026-07-19,5754.15
2026-07-20,5853.94
2026-07-21,5932.44
2026-07-22,5945.04
2026-07-23,5772.83
2026-07-24,5764.42
2026-07-25,5764.42
2026-07-26,5764.42
2026-07-27,5572.27
2026-07-28,5563.83
2026-07-29,5522.57
2026-07-30,5545.78
2026-07-31,5383.74
2026-08-01,5376.10
2026-08-02,5376.10
2026-08-03,5376.10
2026-08-04,5376.10
2026-08-05,5376.10
2026-08-06,5353.71
2026-08-07,5381.68
2026-08-08,5390.09
2026-08-09,5372.40
2026-08-10,5266.72
2026-08-11,5258.82
2026-08-12,5258.82
2026-08-13,5258.82
2026-08-14,5258.82
2026-08-15,5258.82
2026-08-16,5258.82
2026-08-17,5258.82
2026-08-18,5262.52
2026-08-19,6181.16
2026-08-20,6385.00
2026-08-21,6903.47
2026-08-22,6648.14
2026-08-23,6759.47
2026-08-24,6810.97
2026-08-25,6702.31
2026-08-26,6879.05
2026-08-27,6890.19
2026-08-28,6703.65
2026-08-29,6743.22
2026-08-30,6631.54
2026-08-31,6771.51
2026-09-01,6636.76
2026-09-02,6626.83
2026-09-03,6626.83
2026-09-04,6481.32
2026-09-05,6545.07
2026-09-06,6626.38
